label,message
ham,Even my brother is not like to speak with me. They treat me like aids patient.
ham,"Nah I don t think he goes to usf, he lives around here though"
ham,"I will be there in 10 minutes, save me a seat"
ham,Happy birthday! Hope you have a great day
spam,WINNER!! You have been selected to receive a 900 prize reward! Call 09061701461 to claim now
ham,"Just landed, will call you when I get my bags"
ham,Ok lar... Joking wif u oni...
ham,Can we reschedule to 3pm instead? Works better for me
ham,Can you pick up some milk on the way home?
ham,"The kids are doing great, thanks for asking"
ham,What do you want for dinner tonight?
ham,Are you coming to the party tonight?
ham,"Running late, be there in 20 mins sorry"
ham,Hey. What time does the movie start?
ham,"Call me when you get a chance, need to talk about tomorrow"
ham,"Just landed, will call you when I get my bags"
ham,"The kids are doing great, thanks for asking"
ham,Ok lar... Joking wif u oni...
ham,Even my brother is not like to speak with me. They treat me like aids patient.
ham,"Call me when you get a chance, need to talk about tomorrow"
ham,Even my brother is not like to speak with me. They treat me like aids patient.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,"Sent you the document, let me know if you have questions"
spam,Earn 500 from home! Easy work great pay. Reply for details now
ham,"Call me when you get a chance, need to talk about tomorrow"
ham,Are you coming to the party tonight?
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,"Running late, be there in 20 mins sorry"
ham,"Call me when you get a chance, need to talk about tomorrow"
ham,"The kids are doing great, thanks for asking"
ham,"The kids are doing great, thanks for asking"
ham,Even my brother is not like to speak with me. They treat me like aids patient.
ham,Thanks for helping me with the project yesterday
ham,"Nah I don t think he goes to usf, he lives around here though"
spam,FREE iPhone if you complete our survey. Click here now to claim
ham,Happy birthday! Hope you have a great day
spam,FREE iPhone if you complete our survey. Click here now to claim
ham,Hey. What time does the movie start?
ham,"Running late, be there in 20 mins sorry"
ham,Can you pick up some milk on the way home?
ham,"Just landed, will call you when I get my bags"
ham,What do you want for dinner tonight?
ham,What do you want for dinner tonight?
spam,Earn 500 from home! Easy work great pay. Reply for details now
ham,Hey. What time does the movie start?
ham,Thanks for helping me with the project yesterday
spam,URGENT! You have won a 1 week FREE membership in our prize Jackpot! Txt the word CLAIM to 81010
ham,Happy birthday! Hope you have a great day
ham,"Running late, be there in 20 mins sorry"
ham,What do you want for dinner tonight?
spam,You won the lottery! Call 0800 111 2222 to claim your 50000 prize
ham,Thanks for helping me with the project yesterday
ham,"Sent you the document, let me know if you have questions"
spam,Dear valued customer you have been selected to receive a FREE gift. Reply YES to claim
ham,"The kids are doing great, thanks for asking"
ham,Happy birthday! Hope you have a great day
ham,Did you watch the game last night? Crazy finish!
ham,Did you watch the game last night? Crazy finish!
ham,"Just landed, will call you when I get my bags"
ham,"I will be there in 10 minutes, save me a seat"
ham,Hey. What time does the movie start?
ham,Hey. What time does the movie start?
ham,Mom wants to know if you are coming for dinner Sunday
spam,Earn 500 from home! Easy work great pay. Reply for details now
ham,"Just landed, will call you when I get my bags"
ham,Are you coming to the party tonight?
ham,"The kids are doing great, thanks for asking"
ham,Happy birthday! Hope you have a great day
ham,Are you coming to the party tonight?
ham,"Nah I don t think he goes to usf, he lives around here though"
ham,Mom wants to know if you are coming for dinner Sunday
ham,Ok lar... Joking wif u oni...
ham,"Just landed, will call you when I get my bags"
ham,"Running late, be there in 20 mins sorry"
ham,"Call me when you get a chance, need to talk about tomorrow"
ham,"I will be there in 10 minutes, save me a seat"
ham,Are you coming to the party tonight?
spam,Earn 500 from home! Easy work great pay. Reply for details now
ham,Mom wants to know if you are coming for dinner Sunday
ham,"Running late, be there in 20 mins sorry"
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,"Running late, be there in 20 mins sorry"
ham,"Just finished the report, sending it over now"
spam,Congratulations! You have won 1000 cash or a top Sony TV. Call now 08718726971
ham,"Running late, be there in 20 mins sorry"
ham,Ok lar... Joking wif u oni...
ham,"Sent you the document, let me know if you have questions"
ham,"Nah I don t think he goes to usf, he lives around here though"
ham,Thanks for helping me with the project yesterday
ham,Hey. What time does the movie start?
ham,"I will be there in 10 minutes, save me a seat"
ham,Are you coming to the party tonight?
ham,Can we reschedule to 3pm instead? Works better for me
ham,Can we reschedule to 3pm instead? Works better for me
ham,"Just finished the report, sending it over now"
ham,Mom wants to know if you are coming for dinner Sunday
ham,Happy birthday! Hope you have a great day
ham,What do you want for dinner tonight?
spam,You won the lottery! Call 0800 111 2222 to claim your 50000 prize
spam,Dear valued customer you have been selected to receive a FREE gift. Reply YES to claim
ham,What do you want for dinner tonight?
ham,Did you watch the game last night? Crazy finish!
ham,"Just landed, will call you when I get my bags"
ham,What do you want for dinner tonight?
ham,Did you watch the game last night? Crazy finish!
ham,"Call me when you get a chance, need to talk about tomorrow"
ham,"The kids are doing great, thanks for asking"
ham,Mom wants to know if you are coming for dinner Sunday
