label,message
spam,Your free ringtone is waiting! Text MIX to 85069 to verify. Get Usher ringtone FREE
ham,"Just landed, will call you when I get my bags"
spam,Camera - you asked to be in our database? Txt YES to get voucher codes worth 500 FREE
ham,Hey. What time does the movie start?
spam,FREE iPhone if you complete our survey. Click here now to claim
spam,"Subject: You Are A Winner
Congratulations! Claim your reward by calling 0800 FREE now."
spam,"Subject: Investment Opportunity
Double your savings guaranteed! Limited time offer. Call now."
spam,Congratulations! You have won 1000 cash or a top Sony TV. Call now 08718726971
ham,"Subject: Meeting Tomorrow
Hi team, reminder that our weekly sync is at 10am tomorrow in room B."
ham,"Running late, be there in 20 mins sorry"
ham,"Subject: Updated Policy
Please review the updated employee handbook and sign the acknowledgment form."
ham,Happy birthday! Hope you have a great day
spam,Win a 200 gift card. Reply WIN to claim your prize today. Limited time!
spam,Call now and win 500 pounds FREE! Text WIN to 89555 now!
ham,Can you pick up some milk on the way home?
spam,Earn 500 from home! Easy work great pay. Reply for details now
ham,Ok lar... Joking wif u oni...
spam,WINNER!! You have been selected to receive a 900 prize reward! Call 09061701461 to claim now
ham,"Subject: Conference Registration
Registration for the annual tech conference is open. Deadline end of month."
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575. Cost 150p/day
ham,"Subject: Lunch plans
Are you free for lunch on Thursday? Thinking of trying that new Italian place."
spam,"Subject: Urgent Business Proposal
I am a prince needing your help to transfer funds. Confidential."
spam,"Subject: Account Alert
Your account has been compromised. Click here immediately to verify."
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,"The kids are doing great, thanks for asking"
ham,"Sent you the document, let me know if you have questions"
ham,Mom wants to know if you are coming for dinner Sunday
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free!
ham,"Subject: Q3 Report Draft
Please find attached the Q3 report draft. Please review by EOD Friday."
ham,"Just finished the report, sending it over now"
ham,Are you coming to the party tonight?
ham,Even my brother is not like to speak with me. They treat me like aids patient.
spam,"Subject: Lose Weight Now
Buy our amazing weight loss pills, guaranteed results in 7 days!"
spam,"Subject: Free Gift Card
Click to claim your 500 Amazon gift card before it expires today."
spam,URGENT claim your free gift before it expires. Text FREE to 50505
ham,"Subject: Office Supplies
The office supply order has been placed. Expect delivery by Wednesday."
ham,"Nah I don t think he goes to usf, he lives around here though"
spam,You won the lottery! Call 0800 111 2222 to claim your 50000 prize
ham,"I will be there in 10 minutes, save me a seat"
spam,"Subject: Make Money Fast!
Dear Friend, You have been selected to receive 1000 dollars. Reply now."
spam,"Subject: Cheap Medication
V1agra and more at 80% off, no prescription needed. Order today."
ham,"Subject: Happy Birthday
Wishing you a very happy birthday! There will be cake in the break room at 3pm."
ham,Did you watch the game last night? Crazy finish!
ham,"Subject: Project Update
Thanks for the update. The timeline looks good. Let me know if you need resources."
ham,What do you want for dinner tonight?
spam,Dear valued customer you have been selected to receive a FREE gift. Reply YES to claim
ham,Thanks for helping me with the project yesterday
spam,"Subject: Congratulations Winner
You have won 50000 in our online lottery. Reply to claim your prize."
spam,URGENT! You have won a 1 week FREE membership in our prize Jackpot! Txt the word CLAIM to 81010
ham,Can we reschedule to 3pm instead? Works better for me
ham,"Subject: Code Review Request
Could you please review my pull request when you get a chance? No rush."
ham,"Call me when you get a chance, need to talk about tomorrow"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry
spam,"Subject: Work From Home
Earn 5000 per week working just 2 hours a day from home. Easy money."
ham,"Subject: System Maintenance
Planned maintenance this Saturday 2-4am. Systems will be unavailable."
